"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8"
"Calories.kcal.",0.836942069094977,0.0711893957992605,0.0394046654559859,2.10562362127852e-05,0.000441197575572354,0.0113172232557522,0.00500125990584269,0.000319224642885448
"Moisture.g.",0.307265400792826,0.0281391783337018,0.376875558580691,0.0155149473928314,0.00617687297615513,0.000770341760293554,0.0578956264716577,0.00279344236449818
"Protein.g.",0.322758016182047,0.0629726251093925,0.116018608287283,0.188950771090981,0.0930934194068438,0.0162106089312546,0.0822203884544428,0.00697586383585529
"Saturated_fat.g.",0.559442872384155,0.263883864648318,0.0136696395132643,0.0550669691795242,0.0404663344527363,0.00944486799513382,0.0361562845305591,1.59423431824898e-05
"Carbohydrate.g.",0.195633617444373,3.01892139731388e-05,0.657434855123401,0.000696032168718414,0.00569680727522658,0.0155377523040421,0.0208499187068094,1.67935674106393e-05
"Dietary_fiber.g.",0.141419039513691,0.453060082041185,0.0511997301749707,0.0579546485028861,0.0257303638938311,0.0129660662151077,0.058959984573444,0.121465302118426
"Mg.mg.",0.442389814260628,0.301555494775524,2.49063889480697e-05,0.000473956555842118,0.00691431770093494,0.0477493290945539,0.00835428062572769,0.0306838683822175
"Fe.mg.",0.184683152232628,0.324525152406182,0.00184000461888927,0.0294172032013623,0.0131409857915669,0.18589541147557,5.37167502905759e-05,0.24738953507183
"Zn.mg.",0.34109966051184,0.158327495897047,0.107813148206808,0.0725167204754518,0.120591175148746,0.000632314399054685,0.00437321971280353,0.0363515912290032
"VitaminA.IU.",0.00564646328584022,0.0260956210576793,0.069615144401154,0.619857434407694,0.0127170208619045,0.0529184285976548,0.209985491882702,0.00100420795055418
"VitaminB_group",0.0878192569337801,0.309655951517666,0.0020466692921842,0.00615760165224761,0.0111597742094869,0.369405523794082,0.154571757423849,0.0442808180767854
"Fatty_acid_S.mg.",0.559341722277525,0.263959676156802,0.0137042537932247,0.0549763381005441,0.0404660878832325,0.00927936133795848,0.0364115474204552,9.49296699926241e-06
"Fatty_acid_M.mg.",0.537199877508151,0.120763429883146,0.127349206955405,0.00122409202947266,0.0456165817430804,0.000427390811309106,0.00578595762761487,0.000415101235296521
"Fatty_acid_P.mg.",0.238671392548302,0.00333838451169842,0.10982680316564,0.016068396672866,0.510512847435132,0.0551362291968116,0.0129207835321073,9.76805714664131e-05
