Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
26036,10000028,Bby food   地瓜葉泥糊,27.8434,90.9326,3.1552,0.2784,0.1235,1.2116,4.4222,3.287,39.2764,401.4512,105.3541,34.7698,2.5009,0.4907,43.5969,5959.5106,1.0896,71.057,26.8,123.5372,8.6415,146.2185,2469.7057,0.0,6
26037,10000032,Bby food   紅莧菜泥糊,19.951,92.334,2.9335,0.2308,0.0,1.8521,2.6496,2.7439,10.6937,445.2105,218.1809,74.1118,11.8192,0.6311,53.211999999999996,11050.8896,0.77,0.9075,16.0175,0.0,0.0,0.0,2208.596,0.0,6
26038,10000047,三彩鮮肉捲 聲寶燒烤微波爐,90.8015,79.036,10.2998,1.6613,0.4286,1.2087,8.2673,1.3135,203.0881,259.0467,19.3228,20.3591,0.8287,0.6402,116.7804,4952.4539,0.8861,24.8483,2.9973,428.6122,617.8391,589.1878,9532.5549,45.6118,6
26039,10000048,三絲炒玉米,76.4239,81.632,10.350999999999999,0.4058,0.0841,0.8761,7.3084,1.5669,47.6192,291.1804,10.0904,22.3922,0.495,0.6627,107.8713,5773.7768,0.2148,16.840999999999998,9.5126,84.1379,87.5606,73.3079,8299.8987,20.1646,6
26040,10000062,自製純天然番茄乾,32.8177,90.2701,0.914,0.2398,0.0,1.2906,7.2856,1.6606,142.3676,460.3939,15.6228,11.290999999999999,0.8188,0.2236,24.4503,11539.0532,0.9198,0.9077,43.2255,0.0,0.0,0.0,0.0,0.0,6
26041,10000115,韓國麻藥飯捲食譜,152.94799999999998,67.2833,3.1310000000000002,6.3794,1.0781,2.0328,21.1841,1.8107,516.3401,426.1034,24.4635,23.8465,0.8411,0.5221,56.6819,8660.2203,4.0167,33.4164,3.3898,1078.0585,2412.1349,2859.0669,2718.4042,0.0,6
26042,10000120,簡易版的茄汁鮮肉醬便當料理,74.0994,80.9695,4.8222,3.7526,1.3784,1.0278,5.3593,1.2519,110.5372,332.3753,18.2523,12.948,0.5845,0.7832,65.98100000000001,4159.999,0.7913,6.2325,7.6691,1378.3948,1636.5767,689.5595,3632.7914,14.1809,6
26043,10000161,(1歲副食品)馬鈴薯小丸子,95.7459,81.7414,6.6608,4.6384,1.6859,0.6539,6.7977,1.2391,43.453,222.9888,19.404,14.1667,0.5037,1.0328,85.5042,5549.7612,0.2511,9.846,5.2617,1685.868,1994.4019,868.8867,5329.4646,19.4346,6
26044,10000176,(古早味)塔香煎蛋,107.6166,79.0093,9.8119,6.4553,2.1878,1.3961,3.3275,1.1999,163.7909,279.1561,87.7123,23.824,3.217,1.1079,148.9216,4700.2155,1.3258,49.9387,4.1484,2187.805,2837.2705,1329.3434,9987.6252,276.6894,6
26045,10000229,(素)紅麴蒸蛋豆腐,73.0266,62.6041,5.7517,3.2673,1.0963,1.251,5.5198,0.8281,333.2014,132.5025,41.5907,14.6214,1.1529,0.6206,85.1412,5809.1878,1.0766,33.5159,1.6664,1096.3081,1256.2215,891.9411,5570.6403,118.8459,6
