Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
27912,10000001,蝦肉蔬菜煎米餅,119.2241,70.8809,3.5133,0.6107,0.175,0.4095,24.5856,0.9529,50.7287,110.5931,23.1168,11.293,0.585,0.6031,64.5721,1584.9639,0.3259,18.4551,11.5809,175.0156,219.2835,171.6982,3269.5240000000003,27.6067,7
27913,10000008,[小米愛料理 ] 鹹蛋苦瓜,95.4822,77.7124,3.1703,2.8028,0.9409,1.2789,15.0356,1.9553,324.5349,167.8091,27.8518,12.2129,0.7725,0.3932,68.6178,119.9087,0.9145,52.3136,28.5079,940.9435,1357.6511,494.7623,2757.3292,104.863,7
27914,10000010,夏日抗發炎料理  酸辣佛手瓜,46.1831,85.6223,2.9467,1.0262,0.1464,2.8433,7.5615,2.5379,392.5924,760.0684,44.9993,23.1272,1.5483,0.6404,64.5597,1789.0031,1.1798,2.9065,15.9856,146.4264,273.121,468.2405,1963.6834,0.0,7
27915,10000012,食在好料理 嫩炒雞胸法式吐司,160.1365,69.1633,4.8366,8.1285,4.6009,1.2453,16.9881,1.3589,181.6242,298.2438,50.4468,19.4073,1.1799,0.5143,66.1355,1257.3581,1.162,30.7971,12.3191,4600.9483,2622.44,907.6358,4358.6133,61.4512,7
27916,10000016,慵懶小廚 泡菜豬肉拌年糕,88.941,31.7164,6.5839,4.9431,1.8166,0.4344,4.0816,0.0995,48.2267,116.9379,5.0055,8.1183,0.2992,0.9248,72.9467,38.6963,0.1564,4.9564,1.3046,1816.5878,2136.7474,944.99,5556.3757,20.756,7
27917,10000017,慵懶小廚 簡單午餐麵,59.5288,85.1368,2.5384,1.1599,0.2164,0.8619,10.302999999999999,1.2024,97.4587,251.4014,45.1501,13.5751,0.6238,0.4143,43.5117,67.7376,0.5846,23.6536,32.9855,216.4126,350.1533,468.5391,1500.3747,11.5939,7
27918,10000019,一小時果醬 鳳梨蘋果果醬運勢旺旺來,110.2372,70.5008,0.541,0.1135,0.0417,0.2886,28.5561,0.9068,0.8818,138.3462,8.8317,10.7782,0.2479,0.3678,8.8272,21.9117,0.04,8.1577,8.7487,41.6417,48.9073,22.8507,0.0,0.0,7
27919,10000020,快速煎好花枝丸,108.3228,13.8802,2.7153,9.3413,1.841,0.4405,3.6539,0.6971,97.023,28.8829,7.2192,11.786,0.6599,0.2299,38.9806,35.7255,1.5718,3.38,0.0128,1840.9728,6492.6653,999.8213,2596.4799,23.7127,7
27920,10000022,簡易優格 電鍋版,83.4324,76.5166,2.9183,3.0856,2.1158,0.6534,11.2704,0.0,37.1769,136.6012,86.6667,8.9779,0.0556,0.3825,72.2719,109.7919,0.0546,4.1644,0.2937,2115.7847,864.056,101.8888,2806.9872,11.2881,7
27921,10000025,0失敗的 蒸蛋,52.2793,29.4853,4.8663,3.4361,1.183,0.9328,0.7181,0.0,165.3577,210.1064,18.5485,4.6808,0.7702,0.5156,72.7531,212.9296,0.7011,26.5379,0.2402,1182.9775,1533.7365,715.7123,4982.3761,149.7256,7
27922,10000026,Bby food   水蓮泥糊,17.3807,94.6682,1.0932,0.2716,0.1352,0.8284,3.1386,1.8682,110.6534,228.6716,25.6057,10.3716,3.7193,0.5932,20.75,349.6409,0.2409,0.7886,7.0625,135.1557,35.1273,94.7386,0.0,0.0,7
27923,10000027,Bby food   玉米筍泥糊,30.9043,91.0757,2.2481,0.28300000000000003,0.1895,0.5868,5.8065,2.5684,1.7062,221.6986,15.3259,25.1465,1.3389,0.5727,52.4581,24.3824,0.1557,21.1084,9.1954,189.3714,63.4768,30.2522,1732.5919,0.0,7
27924,10000029,Bby food   芋頭泥糊,127.75,68.9,2.5,1.1,0.0,1.1,26.4,2.31,5.0,500.0,28.0,29.0,0.9,2.21,64.0,66.664,0.0,14.479000000000001,8.8,0.0,0.0,0.0,0.0,0.0,7
27925,10000030,Bby food   金瓜泥糊,74.0847,79.7579,1.8516,0.1983,0.0742,0.8656,17.3266,2.5015,1.3493,425.9775,13.7073,16.9408,0.4894,0.2926,45.9121,3680.6592,1.1098,61.1485,14.9879,74.1959,56.9458,65.4866,1648.105,0.0,7
27926,10000031,Bby food   秋葵泥糊,35.5339,89.8345,2.0565,0.1081,0.0,0.5034,7.4974,3.7489999999999997,9.4994,203.38,93.8024,50.0101,0.6875,0.6647,53.196999999999996,2257.8956,0.45,1.1815,11.3444,0.0,0.0,0.0,0.0,0.0,7
27927,10000033,Bby food   茄子泥糊,25.3298,92.7843,1.2165,0.1621,0.1144,0.5074,5.3297,2.7473,2.1132,220.7333,15.9188,14.6835,0.4201,0.3425,28.5465,9.9954,0.3987,22.5155,5.209,114.39399999999999,22.7848,17.335,0.0,0.0,7
27928,10000034,Bby food   高麗菜泥糊,23.1788,93.2432,1.308,0.1439,0.0,0.5492,4.7557,1.0946,10.5289,186.7937,47.4817,11.6265,0.4498,0.3385,30.3334,52.4268,0.243,20.3509,37.1548,0.0,0.0,0.0,0.0,0.0,7
27929,10000035,Bby food   甜豆泥糊,42.3477,88.7846,3.0444,0.1762,0.0754,0.5479,7.4469,2.7355,1.9558,172.8554,45.6111,22.3369,2.0858,0.6642,59.3305,323.9054,0.2123,25.5104,30.3642,75.3554,21.3361,67.9709,2484.4341,0.0,7
27930,10000036,Bby food   甜洋蔥泥糊,41.9293,88.5755,1.0005,0.057999999999999996,0.0,0.4115,9.9545,1.2711,3.2230000000000003,144.7915,25.058000000000003,10.2305,0.371,0.256,29.59,0.0,0.0265,4.1593,5.593,0.0,0.0,0.0,777.9060000000001,0.0,7
27931,10000037,Bby food   甜菜根泥糊,34.4678,89.946,1.324,0.0838,0.0,0.8776,7.7686,2.252,146.4484,293.6458,14.418,13.8023,0.2025,0.2346,20.1599,0.0,0.05,0.5476,3.4235,0.0,0.0,0.0,0.0,0.0,7
27932,10000038,Bby food   荸薺泥糊,67.1952,82.60600000000001,1.703,0.0989,0.0,1.0997,14.4925,2.0856,21.2331,460.5004,3.205,9.7175,0.4845,0.3593,52.7034,23.3324,0.4601,8.722999999999999,5.9955,0.0,0.0,0.0,0.0,0.0,7
27933,10000039,Bby food   絲瓜泥糊,18.6884,94.646,1.062,0.0982,0.0509,0.3261,3.8677,1.025,0.3157,117.1002,9.6047,9.6899,0.1994,0.0872,21.5111,5.6443,0.0425,39.6575,6.5183,50.9069,9.9418,35.7477,0.0,0.0,7
27934,10000040,Bby food   黃玉米泥糊,65.8248,83.8,3.4,0.64,0.0,0.71,11.45,3.7,5.0,200.0,5.0,30.0,0.6,0.7,100.0,24.1657,0.0,9.597999999999999,11.0,0.0,0.0,0.0,0.0,0.0,7
27935,10000041,Bby food  牛番茄泥糊,18.5931,94.67200000000001,0.7085,0.1156,0.0521,0.4605,4.0434,1.0252,1.6748,227.1584,6.7860000000000005,9.7794,0.48100000000000004,0.3027,27.6423,1319.2056,0.5695,0.4393,12.2815,52.1079,48.1046,15.3863,0.0,0.0,7
