食譜名稱,食譜食材,食譜網址,圖片網址
,,,
水煮蛋,"一小匙白醋, 一小匙鹽, 新鮮雞蛋數顆",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524390-%E6%B0%B4%E7%85%AE%E8%9B%8B,https://cookpad.com/tw/recipe/images/fab9f5e1c6f761e1
蒸蛋,"雞蛋2顆, 水一碗半, 鮮奶少於半碗, 一小匙醬油, 鮮味炒手半平匙, 味島香鬆適量, 鮮奶少許(可不加)",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524334-%E8%92%B8%E8%9B%8B,https://cookpad.com/tw/recipe/images/0a747cc5080282be
氣炸鍋系列_香腸娃娃菜,"香腸4條, 娃娃菜1包, 芝麻、孜然粉少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524305-%E6%B0%A3%E7%82%B8%E9%8D%8B%E7%B3%BB%E5%88%97_%E9%A6%99%E8%85%B8%E5%A8%83%E5%A8%83%E8%8F%9C,https://cookpad.com/tw/recipe/images/37ca5692a98b40fc
養生杞子桂圓芋圓,"桂圓10粒, 杞子10粒, 片糖半塊, 薑三片, 芋圓 （冰蜂桂花，椰香斑蘭，芋頭）各六粒",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524188-%E9%A4%8A%E7%94%9F%E6%9D%9E%E5%AD%90%E6%A1%82%E5%9C%93%E8%8A%8B%E5%9C%93,https://cookpad.com/tw/recipe/images/3eabe90879f5d55e
彩椒炒肉絲,"彩色青椒1.5條, 肉絲200克, 蒜頭2顆, 薑黃粉、醬油少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524182-%E5%BD%A9%E6%A4%92%E7%82%92%E8%82%89%E7%B5%B2,https://cookpad.com/tw/recipe/images/cb8ad1b68e749522
辣醋溜海帶,"海帶, 調味, 辣椒1小段, 醬油1小匙, 鹽1小匙, 白醋1匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12524011-%E8%BE%A3%E9%86%8B%E6%BA%9C%E6%B5%B7%E5%B8%B6,https://cookpad.com/tw/recipe/images/e06e4469cde78e62
青醬海鮮義大利麵,"直麵100克, 鮮蝦12隻, 九層搭, 香菜",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12523799-%E9%9D%92%E9%86%AC%E6%B5%B7%E9%AE%AE%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5,https://cookpad.com/tw/recipe/images/1f195d97efffac67
香蜜蘋果玉桂鬆餅,"低筋麵粉160g, 牛奶50g, 牛油50g, 蛋1隻, 泡打粉5g, 糖15g, 盬1g, 蜜糖少許搽面, 蘋果1個, 玉桂粉5g",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522999-%E9%A6%99%E8%9C%9C%E8%98%8B%E6%9E%9C%E7%8E%89%E6%A1%82%E9%AC%86%E9%A4%85,https://cookpad.com/tw/recipe/images/3b34cbac424881d2
廣州炒飯,"廣式臘腸1條切丁, 雞蛋兩顆, 青蔥切末, 培根切丁, 醬油2湯匙, 冷飯兩碗(米飯只能盛出放冷 勿用冰箱隔夜飯口感最佳)",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12523201-%E5%BB%A3%E5%B7%9E%E7%82%92%E9%A3%AF,https://cookpad.com/tw/recipe/images/5ab4e6e0a8e0a8de
全聯食譜之爸爸回家做晚飯 - 山藥燉雞湯,"土雞骨腿切塊 1 盒, 鯛魚魚翅丸 6 顆, 日本山藥(切塊) 半根, 薑片 3 片, 香菇 2 大朵, 紅棗 5 g, 枸杞 10 g, 鹽 5 g, 水 400 ml",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12523055-%E5%85%A8%E8%81%AF%E9%A3%9F%E8%AD%9C%E4%B9%8B%E7%88%B8%E7%88%B8%E5%9B%9E%E5%AE%B6%E5%81%9A%E6%99%9A%E9%A3%AF-%E5%B1%B1%E8%97%A5%E7%87%89%E9%9B%9E%E6%B9%AF,https://cookpad.com/tw/recipe/images/dd75933945305f29
全聯食譜之爸爸回家做晚飯 - 藥膳鯛魚,"鯛魚腹片(洗淨擦乾) 2 片, 日本山藥(切片) 20 g, 娃娃菜(洗淨) 30 g, 蔥花 5 g, 鹽 5 g, 橄欖油 1 匙, 藥膳高湯, 水 4 杯, 十全大補藥膳包 1 包, 薑片 4 片",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12523027-%E5%85%A8%E8%81%AF%E9%A3%9F%E8%AD%9C%E4%B9%8B%E7%88%B8%E7%88%B8%E5%9B%9E%E5%AE%B6%E5%81%9A%E6%99%9A%E9%A3%AF-%E8%97%A5%E8%86%B3%E9%AF%9B%E9%AD%9A,https://cookpad.com/tw/recipe/images/dfbaa3fa724d0e4b
醃篤鮮,"青江菜五顆, 百葉結10個, 金華火腿 (火烔最佳)一塊, 三層肉一條, 竹筍一只, 豬骨高湯 1.5 公升",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522851-%E9%86%83%E7%AF%A4%E9%AE%AE,https://cookpad.com/tw/recipe/images/4404fc676490714b
清爽甜美 牛奶新洋蔥,"小黃瓜1條, 綠色水菜一小把, 番茄1粒 檸檬片8小片, 橄欖油 黑胡椒 水果黑醋",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522542-%E6%B8%85%E7%88%BD%E7%94%9C%E7%BE%8E-%E7%89%9B%E5%A5%B6%E6%96%B0%E6%B4%8B%E8%94%A5,https://cookpad.com/tw/recipe/images/f2510192af110f91
葡萄戚風蛋糕,"低筋麵粉90克, 蛋四顆, 糖30克, 橄欖油65克, 青綠色的葡萄果粒數顆",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522857-%E8%91%A1%E8%90%84%E6%88%9A%E9%A2%A8%E8%9B%8B%E7%B3%95,https://cookpad.com/tw/recipe/images/7c3f109d452c00b5
快速做好一週便當,"蔬菜（份量看個人）, 肉類（份量看個人）, 米（可以事先煮）",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12520379-%E5%BF%AB%E9%80%9F%E5%81%9A%E5%A5%BD%E4%B8%80%E9%80%B1%E4%BE%BF%E7%95%B6,https://cookpad.com/tw/recipe/images/64845ed27fc49f1b
[薯泥的N種吃法]甜椒薯泥派(？),"甜椒 1-2 顆, 起司 適量, 餡, 某天做好的薯泥, 玉米 適量, 洋蔥 半顆, 絞肉 約100克, 鹽 適量, 黑胡椒 適量",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522748-%E8%96%AF%E6%B3%A5%E7%9A%84n%E7%A8%AE%E5%90%83%E6%B3%95%E7%94%9C%E6%A4%92%E8%96%AF%E6%B3%A5%E6%B4%BE,https://cookpad.com/tw/recipe/images/3c91957c3d320b2b
宮保雞丁,"雞腿肉 兩片, 辣椒乾 20 g, 蒜末 一湯匙, 大紅袍花椒粒 一茶匙, 金陽青花椒粒 一茶匙, 蒜蓉花生 兩湯匙, 醬油 兩湯匙, 番茄醬 一湯匙, 白糖 一茶匙, 太白粉 一湯匙, 鹽 一茶匙",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522538-%E5%AE%AE%E4%BF%9D%E9%9B%9E%E4%B8%81,https://cookpad.com/tw/recipe/images/d3630d2c6807bbcd
全麥三明治,全麥吐司三片/鮪魚/生菜/番茄片/雞蛋/花生醬/黑胡椒/起司兩片,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522352-%E5%85%A8%E9%BA%A5%E4%B8%89%E6%98%8E%E6%B2%BB,https://cookpad.com/tw/recipe/images/e237dd998a52d435
起酥烤布丁,"雞蛋布丁1個, 起酥片1片, 白砂糖適量, 預備材料, 錫箔紙1片（正方形比起酥片大一些）, 氣炸鍋",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522308-%E8%B5%B7%E9%85%A5%E7%83%A4%E5%B8%83%E4%B8%81,https://cookpad.com/tw/recipe/images/b91ee62141011b19
瓠仔,排骨、瓠仔半條、薑片、適量鹽,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522176-%E7%93%A0%E4%BB%94,https://cookpad.com/tw/recipe/images/d3e722b8f8046d5d
墨西哥雞肉酥餅,墨西哥餅皮 / 起司/ 雞肉/ 蕃茄丁/高麗菜絲/莎莎醬,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522219-%E5%A2%A8%E8%A5%BF%E5%93%A5%E9%9B%9E%E8%82%89%E9%85%A5%E9%A4%85,https://cookpad.com/tw/recipe/images/944521f7869a5a6a
豆豉鮮蚵豆腐,"蔥2支, 薑1塊, 蒜6個, 醬油少許, 糖少許, 豆鼓少許, 太白粉少許, 胡椒粉少許, 辣椒少許",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522206-%E8%B1%86%E8%B1%89%E9%AE%AE%E8%9A%B5%E8%B1%86%E8%85%90,https://cookpad.com/tw/recipe/images/67d6b465430eb4e5
【綠山農場 諾曼第發酵奶油】 一次就上手的奶油餐包 專屬於小朋友的下午茶時光,"高筋麵粉 475 g, 綠山農場 諾曼地（無鹽）發酵奶油 35 g, 全蛋 1 顆, 牛奶275g, 糖 70 g, 快速酵母粉 7 g",https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522151-%E7%B6%A0%E5%B1%B1%E8%BE%B2%E5%A0%B4-%E8%AB%BE%E6%9B%BC%E7%AC%AC%E7%99%BC%E9%85%B5%E5%A5%B6%E6%B2%B9-%E4%B8%80%E6%AC%A1%E5%B0%B1%E4%B8%8A%E6%89%8B%E7%9A%84%E5%A5%B6%E6%B2%B9%E9%A4%90%E5%8C%85-%E5%B0%88%E5%B1%AC%E6%96%BC%E5%B0%8F%E6%9C%8B%E5%8F%8B%E7%9A%84%E4%B8%8B%E5%8D%88%E8%8C%B6%E6%99%82%E5%85%89,https://cookpad.com/tw/recipe/images/9a91816bd8120afc
香蕉蛋糕 （簡易版）,香蕉兩根/蛋糕粉一杯/雞蛋兩顆/無鹽奶油60克/紅糖適量,https://cookpad.com/tw/%E9%A3%9F%E8%AD%9C/12522183-%E9%A6%99%E8%95%89%E8%9B%8B%E7%B3%95-%E7%B0%A1%E6%98%93%E7%89%88,https://cookpad.com/tw/recipe/images/d130355fa86f549f
